,C,gamma,score,coef0,degree
rbf,50.10471003653787,0.042990125485459614,0.802648990630735,,
poly,4.441426867824358,0.2861877827857976,0.8061784023954409,23.41603338670983,10.0
sigmoid,16.186630258905687,0.020910019759823182,0.7705162754757076,0.00016749119590638508,7.0
