,alpha,gamma,score,coef0,degree
rbf,0.00028088796424339326,0.0067792733057012305,-0.005341702391819397,,
poly,0.0011708856561630531,0.00017640498249100531,-0.0011211985092609298,6.289678570788409,4.0
